,query,time
0,"imageflow_tool v1/querystring --in in/37.webp --out out/water9999.jpg --command ""h=1000&h=600&s.saturation=0.8&s.contrast=0.6""",0.06232
1,"imageflow_tool v1/querystring --in in/17.jpeg --out out/water9998.jpg --command ""s.grayscale=sepia&s.grayscale=sepia&format=webp&webp.lossless=true&h=200""",0.044926
2,"imageflow_tool v1/querystring --in in/8.jpeg --out out/water9997.jpg --command ""flip=y&s.grayscale=sepia&s.grayscale=sepia""",0.023656
3,"imageflow_tool v1/querystring --in in/waterhouse.jpg --out out/water9995.jpg --command ""format=jpeg&jpeg.turbo=true&format=jpeg&jpeg.turbo=true&jpeg.quality=50&format=webp&webp.quality=100&format=webp&webp.lossless=true&s.brightness=-0.7""",0.118022
4,"imageflow_tool v1/querystring --in in/7.webp --out out/water9993.jpg --command ""rotate=90&srotate=90&rotate=270""",0.040955
5,"imageflow_tool v1/querystring --in in/8.jpeg --out out/water9996.jpg --command ""format=jpeg&jpeg.turbo=true&jpeg.quality=0&h=600&s.alpha=0.6&flip=x&s.alpha=0.7""",0.280188
6,"imageflow_tool v1/querystring --in in/31.jpeg --out out/water9992.jpg --command ""w=800&format=webp&webp.quality=30&s.grayscale=sepia&format=webp&webp.quality=50&format=jpeg&jpeg.quality=20""",0.031077
7,"imageflow_tool v1/querystring --in in/32.jpg --out out/water9991.jpg --command ""format=png&f.sharpenwhen=always&f.sharpen=20&s.grayscale=true&s.contrast=1.0""",0.095999
8,"imageflow_tool v1/querystring --in in/tiles.jpg --out out/water9994.jpg --command ""s.brightness=-0.0&f.sharpenwhen=always&f.sharpen=40&h=600&s.grayscale=sepia""",0.307064
9,"imageflow_tool v1/querystring --in in/16.webp --out out/water9989.jpg --command ""s.grayscale=sepia&w=600&s.grayscale=sepia&rotate=90""",0.038704
10,"imageflow_tool v1/querystring --in in/31.jpeg --out out/water9990.jpg --command ""format=png&png.quality=90&s.saturation=0.8&format=webp&webp.lossless=true&flip=xy""",0.191514
